open_time,open,high,low,close,volume,close_time
1726238700000,0.5651,0.5651,0.5651,0.5651,0.0,1726238999999
1726239000000,0.5651,0.5651,0.5651,0.5651,0.0,1726239299999
1726239300000,0.5694,0.5694,0.5694,0.5694,884.7,1726239599999
1726239600000,0.5694,0.5694,0.5694,0.5694,0.0,1726239899999
1726239900000,0.5694,0.5694,0.5694,0.5694,0.0,1726240199999
1726240200000,0.5694,0.5694,0.5694,0.5694,0.0,1726240499999
1726240500000,0.5694,0.5694,0.5694,0.5694,0.0,1726240799999
1726240800000,0.5702,0.5702,0.5702,0.5702,87.8,1726241099999
1726241100000,0.5708,0.572,0.5666,0.569,32000.0,1726241399999
1726241400000,0.569,0.569,0.569,0.569,0.0,1726241699999
1726241700000,0.569,0.569,0.569,0.569,0.0,1726241999999
1726242000000,0.569,0.569,0.569,0.569,0.0,1726242299999
1726242300000,0.569,0.569,0.569,0.569,0.0,1726242599999
1726242600000,0.569,0.569,0.569,0.569,0.0,1726242899999
1726242900000,0.569,0.5726,0.569,0.5714,32995.5,1726243199999
1726243200000,0.5714,0.5762,0.5709,0.5709,46000.0,1726243499999
1726243500000,0.572,0.5738,0.5709,0.5738,8000.0,1726243799999
1726243800000,0.5738,0.5738,0.5738,0.5738,0.0,1726244099999
1726244100000,0.5738,0.5738,0.5738,0.5738,0.0,1726244399999
1726244400000,0.5709,0.5709,0.569,0.569,5000.0,1726244699999
1726244700000,0.5738,0.5738,0.569,0.569,600.8,1726244999999
1726245000000,0.5697,0.5697,0.569,0.569,1061.9,1726245299999
1726245300000,0.569,0.569,0.569,0.569,1368.5,1726245599999
1726245600000,0.569,0.569,0.569,0.569,0.0,1726245899999
1726245900000,0.52,0.52,0.52,0.52,20.0,1726246199999
1726246200000,0.52,0.52,0.52,0.52,0.0,1726246499999
1726246500000,0.52,0.52,0.52,0.52,20.0,1726246799999
1726246800000,0.52,0.52,0.52,0.52,20.0,1726247099999
1726247100000,0.52,0.52,0.52,0.52,20.0,1726247399999
1726247400000,0.52,0.52,0.52,0.52,20.0,1726247699999
